Hit_Direction,Response_Position,Ch,x_H,y_H,z_H,x_R,y_R,z_R,Num
1,1,0,0,-0.200000003,0,0.174999997,0.25,0,1
1,3,0,0,0.25,0,0.125,0.25,0.034000002,2
0,6,0,-0.075000003,-0.100000001,0.057,0.125,0.200000003,0.034000002,3
1,8,0,-0.150000006,0.25,0.097000003,-0.075000003,0.200000003,0,4
0,10,0,-0.125,-0.224999994,0.079999998,-0.075000003,0.200000003,0.034000002,5
1,10,0,-0.174999997,-0.25,0,-0.075000003,0.200000003,0.034000002,6
0,12,0,0.125,0.224999994,0.034000002,0.125,-0.25,0.034000002,7
1,12,0,-0.116666667,-0.25,0.114,0.125,-0.25,0.034000002,8
0,21,0,0.075000003,-0.200000003,0,0.174999997,-0.25,0,9
1,21,0,0.075000003,-0.200000003,0,0.174999997,-0.25,0,10
2,24,0,-0.150000006,0.24849999,0.032499999,0.075000003,0.200000003,0.079999998,11
0,25,0,0.075000003,0.200000003,0.034,-0.075000003,0.200000003,0.079999998,12
0,25,0,0.125,0.100000001,0.057,-0.075000003,0.200000003,0.079999998,13
1,25,0,-0.058333334,0.25,0.114,-0.075000003,0.200000003,0.079999998,14
1,25,0,0.075000003,0.200000003,0.017000001,-0.075000003,0.200000003,0.079999998,15
2,28,0,0.091666669,0.24849999,0.032499999,-0.125,0.25,0.079999998,16
0,31,0,0.075000003,0.100000001,0.034000002,0.125,0.200000003,0.079999998,17
0,33,0,0.075000003,-0.100000001,0.079999998,0.125,-0.200000003,0.079999998,18
0,34,0,0.075000003,0.200000003,0.057,-0.125,-0.200000003,0.079999998,19
1,34,0,0.075000003,0.200000003,0.057,-0.125,-0.200000003,0.079999998,20
0,37,0,-0.125,-0.224999994,0.034000002,-0.174999997,0.25,0.114,21
1,37,0,-0.058333334,0.25,0.114,-0.174999997,0.25,0.114,22
1,38,0,0.150000006,0.25,0.034000002,-0.174999997,0.25,0.079999998,23
2,40,0,-0.091666669,0.24849999,0.032499999,0.075000003,0.200000003,0.114,24
0,50,0,0.125,-0.224999994,0.034000002,-0.058333334,-0.25,0,25
1,52,0,0,0.25,0.114,0.125,-0.05,0.034000002,26
0,53,0,0.125,0.224999994,0.057,0.075000003,-0.05,0.034000002,27
1,53,0,-0.150000006,0.25,0.079999998,0.075000003,-0.05,0.034000002,28
0,54,0,-0.125,-0.224999994,0.034000002,0.075000003,-0.05,0.079999998,29
1,56,0,-0.174999997,-0.25,0.097000003,-0.075000003,-0.075,0.079999998,30
0,60,0,0.125,0.25,0.034000002,0.058333334,0.25,0.114,31
1,60,0,0.125,0.25,0.034000002,0.058333334,0.25,0.114,32
2,61,0,-0.091666669,0.24849999,0.032499999,-0.058333334,0.25,0.114,33
2,61,0,0.091666669,-0.201499999,0.032000002,-0.058333334,0.25,0.114,34
1,64,0,-0.058333334,-0.25,0.114,-0.150000006,-0.24849999,0.032000002,35
0,66,0,-0.075000003,-0.200000003,0.034000002,0,0.200000003,0.017000001,36
1,66,0,-0.075000003,-0.200000003,0.034000002,0,0.200000003,0.017000001,37
2,66,0,0.06666667,0.201499999,0.032499999,0,0.200000003,0.017000001,38
1,71,0,0,0.25,0.034000002,-0.033333331,0.24849999,0.032499999,39
1,72,0,-0.174999997,-0.25,0.034000002,-0.033333331,0.25,0.017000001,40
0,73,0,-0.075000003,-0.100000001,0.034000002,0.091666669,-0.201499999,0.032000002,41
1,74,0,0.174999997,-0.25,0.079999998,0.06666667,-0.201499999,0.032000002,42
0,75,0,0.125,-0.200000003,0.034000002,0.06666667,-0.25,0.032000002,43
0,75,0,0.125,-0.100000001,0.034000002,0.06666667,-0.25,0.032000002,44
1,75,0,0.125,-0.200000003,0.034000002,0.06666667,-0.25,0.032000002,45
0,77,0,0.125,-0.224999994,0.079999998,0.008333335,-0.25,0.032000002,46
1,78,0,-0.150000006,0.25,0.034000002,0.116666667,-0.25,0,47
0,84,0,-0.125,-0.200000003,0.057,0.125,-0.205,0.034000002,48
1,84,0,-0.125,-0.200000003,0.057,0.125,-0.205,0.034000002,49
1,85,0,-0.116666667,-0.25,0,0.091666669,-0.205,0.032499999,50
2,85,0,-0.150000006,0.226500005,0.032499999,0.091666669,-0.205,0.032499999,51
1,91,0,-0.150000006,0.25,0.017000001,-0.008333335,0.201499999,0.032499999,52
1,94,0,-0.174999997,-0.25,0.079999998,-0.125,-0.205,0.034000002,53
1,97,0,0.150000006,-0.25,0.017000001,-0.150000006,-0.201499999,0.032000002,54
0,99,0,-0.125,-0.25,0.057,-0.091666669,-0.201499999,0.032000002,55
1,99,0,-0.125,-0.25,0.057,-0.091666669,-0.201499999,0.032000002,56
0,102,0,-0.075000003,-0.200000003,0.097000003,-0.06666667,-0.201499999,0.032000002,57
1,102,0,0.058333334,-0.25,0.114,-0.06666667,-0.201499999,0.032000002,58
1,102,0,-0.075000003,-0.200000003,0.097000003,-0.06666667,-0.201499999,0.032000002,59
0,106,0,0.125,0.25,0.079999998,0.125,-0.205,0.034000002,60
1,106,0,0.125,0.25,0.079999998,0.125,-0.205,0.034000002,61
0,109,0,-0.125,-0.200000003,0.034000002,-0.125,-0.205,0.034000002,62
1,109,0,-0.125,-0.200000003,0.034000002,-0.125,-0.205,0.034000002,63
1,110,0,-0.058333334,-0.25,0.114,0.150000006,-0.24849999,0.032000002,64
2,110,0,0.091666669,-0.223499998,0.032000002,0.150000006,-0.24849999,0.032000002,65
2,113,0,-0.06666667,-0.201499999,0.032000002,0.15,-0.2485,0.032000002,66
0,114,0,0.075000003,0.200000003,0.057,0.15,-0.24849999,0.032000002,67
1,114,0,-0.174999997,-0.25,0.079999998,0.15,-0.24849999,0.032000002,68
1,114,0,0.075000003,0.200000003,0.057,0.15,-0.24849999,0.032000002,69
2,116,0,0.091666669,-0.24849999,0.032000002,0,0.25,0.034000002,70
0,119,0,0.075000003,-0.100000001,0.057,0.150000006,0.201499999,0.032499999,71
0,120,0,0.125,0.25,0.057,0.091666669,0.25,0.017000001,72
1,120,0,0.125,0.25,0.057,0.091666669,0.25,0.017000001,73
0,121,0,-0.075000003,0.200000003,0.057,-0.091666669,0.223499998,0.017,74
1,121,0,-0.075000003,0.200000003,0.057,-0.091666669,0.223499998,0.017,75
1,125,0,0,0.200000003,0.034000002,0.174999997,-0.201499999,0.032000002,76
1,126,0,-0.174999997,0.25,0,-0.091666669,-0.25,0.017000001,77
1,127,0,-0.174999997,0.25,0.034000002,-0.174999997,-0.223499998,0.032000002,78
1,131,0,-0.174999997,-0.25,0.114,0,-0.200000003,0.017000001,79
0,133,0,-0.125,-0.100000001,0.034000002,0.174999997,-0.25,0.017000001,80
2,134,0,-0.150000006,-0.201499999,0.032000002,0.150000006,0.223499998,0.032499999,81
1,135,0,0.091666669,0.25,0.017000001,0.174999997,0.223499998,0.032499999,82
1,139,0,0.150000006,0.25,0.079999998,-0.150000006,0.24849999,0.032499999,83
0,142,0,0.175,-0.25,0.079999998,-0.116666667,0.25,0,84
1,142,0,0.175,-0.25,0.079999998,-0.116666667,0.25,0,85
2,146,0,0.091666669,0.226500005,0.032499999,0.150000006,0.25,0.017000001,86
2,146,0,-0.008333335,0.201499999,0.032499999,0.150000006,0.25,0.017000001,87
0,148,0,-0.075000003,-0.200000003,0.057,0,0.25,0,88
1,148,0,-0.075000003,-0.200000003,0.017000001,0,0.25,0,89
1,150,0,0,0.200000003,0,0.174999997,0.25,0.017000001,90
2,150,0,-0.091666669,0.24849999,0.032499999,0.174999997,0.25,0.017000001,91
1,151,0,-0.174999997,-0.25,0.097000003,-0.116666667,-0.25,0,92
0,153,0,-0.125,0.200000003,0.057,-0.125,-0.100000001,0.079999998,93
0,155,0,-0.075000003,-0.200000003,0.034,-0.075000003,-0.100000001,0.034000002,94
1,155,0,-0.075000003,-0.200000003,0,-0.075000003,-0.100000001,0.034000002,95
1,161,0,-0.116666667,0.25,0,-0.125,-0.200000003,0.057,96
1,162,0,0,0.200000003,0.057,-0.125,-0.100000001,0.034000002,97
0,163,0,-0.075000003,0.200000003,0.057,0.075000003,0.100000001,0.057,98
1,163,0,-0.075000003,0.200000003,0.017000001,0.075000003,0.100000001,0.057,99
2,164,0,0.174999997,0.24849999,0.032499999,0.075000003,0.200000003,0.057,100
1,167,0,0.174999997,0.25,0,0.075000003,0,0.057,101
0,168,0,-0.125,-3e-17,0.034000002,0.125,-0.100000001,0.034000002,102
1,175,0,0.058333334,-0.25,0.114,-0.125,0.100000001,0.079999998,103
0,177,0,-0.125,0.200000003,0.079999998,-0.125,0.100000001,0.057,104
0,177,0,-0.125,0.224999994,0.079999998,-0.125,0.100000001,0.057,105
1,177,0,-0.125,0.200000003,0.079999998,-0.125,0.100000001,0.057,106
1,177,0,0.116666667,0.25,0,-0.125,0.100000001,0.057,107
1,184,0,0.116666667,-0.25,0,0.125,-0.224999994,0.079999998,108
0,186,0,0.125,0.25,0.034000002,-0.125,-0.224999994,0.057,109
1,186,0,0.125,0.25,0.034000002,-0.125,-0.224999994,0.057,110
2,190,0,-0.091666669,-0.24849999,0.032000002,0.075000003,0.100000001,0.034000002,111
0,193,0,0.125,0.224999994,0.079999998,0,0.200000003,0.079999998,112
0,198,0,0.125,0.25,0.034000002,-0.125,0.224999994,0.079999998,113
1,198,0,0.125,0.25,0.034000002,-0.125,0.224999994,0.079999998,114
1,199,0,-0.150000006,-0.25,0.034000002,-0.125,-0.224999994,0.079999998,115
1,207,0,0.174999997,-0.25,0.114,0,-0.200000003,0.079999998,116
1,207,0,-0.033333331,-0.25,0.097000003,0,-0.200000003,0.079999998,117
0,208,0,-0.075000003,-0.200000003,0.057,-0.075000003,0.200000003,0.097000003,118
1,208,0,-0.075000003,-0.200000003,0.017000001,-0.075000003,0.200000003,0.097000003,119
2,209,0,0.174999997,0.24849999,0.032499999,-0.150000006,-0.25,0.079999998,120
2,217,0,-0.174999997,-0.223499998,0.032000002,0,-0.200000003,0.097000003,121
0,218,0,0.075000003,-0.200000003,0.057,0.150000006,-0.25,0.08,122
