Num,Ch,Res,Hit_Direction,x_H,y_H,z_H,x_R,y_R,z_R
11,0,0.112581592603,1,-0.117,0.25,0.114,0.125,0.2,0.057
11,2,0.108986515036,1,-0.117,0.25,0.114,0.125,0.2,0.057
11,1,0.100874635322,1,-0.117,0.25,0.114,0.125,0.2,0.057
24,0,0.0575525768841,0,-0.075,0.0,0.057,-0.075,-0.1,0.057
24,2,0.0324660779148,0,-0.075,0.0,0.057,-0.075,-0.1,0.057
24,1,0.0,0,-0.075,0.0,0.057,-0.075,-0.1,0.057
27,0,0.0,2,0.092,0.227,0.032,-0.092,-0.25,0.017
27,2,0.11424733794,2,0.092,0.227,0.032,-0.092,-0.25,0.017
27,1,0.0,2,0.092,0.227,0.032,-0.092,-0.25,0.017
36,0,0.0,1,0.075,0.2,0.097,0.125,-0.2,0.08
36,2,0.0812497053861,1,0.075,0.2,0.097,0.125,-0.2,0.08
36,1,0.0,1,0.075,0.2,0.097,0.125,-0.2,0.08
49,0,0.0,1,0.075,0.2,0.08,-0.125,-0.1,0.034
49,2,0.22437513391,1,0.075,0.2,0.08,-0.125,-0.1,0.034
49,1,0.0975889193797,1,0.075,0.2,0.08,-0.125,-0.1,0.034
50,0,0.198699291725,2,0.092,0.227,0.032,-0.125,-0.1,0.034
50,2,0.278581298645,2,0.092,0.227,0.032,-0.125,-0.1,0.034
50,1,0.101975073572,2,0.092,0.227,0.032,-0.125,-0.1,0.034
1,0,0.211571977464,2,-0.125,-0.201,0.032,-0.125,0.25,0.034
1,2,0.192297104512,2,-0.125,-0.201,0.032,-0.125,0.25,0.034
1,1,0.0,2,-0.125,-0.201,0.032,-0.125,0.25,0.034
10,0,0.123113415484,1,0.125,0.2,0.057,-0.075,-0.2,0.08
10,2,0.0428948349777,1,0.125,0.2,0.057,-0.075,-0.2,0.08
10,1,0.0625347257795,1,0.125,0.2,0.057,-0.075,-0.2,0.08
11,0,0.0,1,-0.117,0.25,0.114,0.125,0.2,0.057
11,2,0.0748909477998,1,-0.117,0.25,0.114,0.125,0.2,0.057
11,1,0.0,1,-0.117,0.25,0.114,0.125,0.2,0.057
13,0,0.220358986674,2,-0.175,0.201,0.0,0.125,0.2,0.057
13,2,0.535356251002,2,-0.175,0.201,0.0,0.125,0.2,0.057
13,1,0.0,2,-0.175,0.201,0.0,0.125,0.2,0.057
14,0,0.846536910526,0,0.125,0.1,0.08,0.125,0.2,0.057
14,2,0.35236358747,0,0.125,0.1,0.08,0.125,0.2,0.057
14,1,0.433992207626,0,0.125,0.1,0.08,0.125,0.2,0.057
15,0,0.0542113963745,0,-0.075,-0.1,0.034,0.125,0.2,0.057
15,2,0.0561824169659,0,-0.075,-0.1,0.034,0.125,0.2,0.057
15,1,0.0,0,-0.075,-0.1,0.034,0.125,0.2,0.057
16,0,0.0,1,-0.125,0.25,0.034,-0.075,0.1,0.057
16,2,0.0521667281502,1,-0.125,0.25,0.034,-0.075,0.1,0.057
16,1,0.0689788034903,1,-0.125,0.25,0.034,-0.075,0.1,0.057
17,0,0.0,1,-0.125,0.25,0.08,-0.075,0.1,0.057
17,2,0.121169261027,1,-0.125,0.25,0.08,-0.075,0.1,0.057
17,1,0.107655952775,1,-0.125,0.25,0.08,-0.075,0.1,0.057
18,0,0.0,0,0.125,-0.2,0.034,-0.075,0.1,0.057
18,2,0.0,0,0.125,-0.2,0.034,-0.075,0.1,0.057
18,1,0.0,0,0.125,-0.2,0.034,-0.075,0.1,0.057
19,0,0.0,1,0.075,-0.2,0.017,-0.075,0.1,0.057
19,2,0.0,1,0.075,-0.2,0.017,-0.075,0.1,0.057
19,1,0.0,1,0.075,-0.2,0.017,-0.075,0.1,0.057
20,0,0.0,0,-0.075,-0.1,0.08,-0.075,0.1,0.057
20,2,0.098785649608,0,-0.075,-0.1,0.08,-0.075,0.1,0.057
20,1,0.0,0,-0.075,-0.1,0.08,-0.075,0.1,0.057
21,0,0.0,1,0.125,0.25,0.034,-0.075,-0.1,0.057
21,2,0.0,1,0.125,0.25,0.034,-0.075,-0.1,0.057
21,1,0.0973173089391,1,0.125,0.25,0.034,-0.075,-0.1,0.057
22,0,0.0924307133927,2,-0.067,0.201,0.032,-0.075,-0.1,0.057
22,2,0.358506947155,2,-0.067,0.201,0.032,-0.075,-0.1,0.057
22,1,0.0,2,-0.067,0.201,0.032,-0.075,-0.1,0.057
24,0,0.0,0,-0.075,0.0,0.057,-0.075,-0.1,0.057
24,2,0.0,0,-0.075,0.0,0.057,-0.075,-0.1,0.057
24,1,0.0,0,-0.075,0.0,0.057,-0.075,-0.1,0.057
25,0,0.0,1,0.0,0.2,0.057,-0.075,-0.1,0.057
25,2,0.0,1,0.0,0.2,0.057,-0.075,-0.1,0.057
25,1,0.0,1,0.0,0.2,0.057,-0.075,-0.1,0.057
26,0,0.131515516466,1,0.075,0.2,0.08,-0.092,-0.25,0.017
26,2,0.0565677941701,1,0.075,0.2,0.08,-0.092,-0.25,0.017
26,1,0.0745994253073,1,0.075,0.2,0.08,-0.092,-0.25,0.017
27,0,0.154562759378,2,0.092,0.227,0.032,-0.092,-0.25,0.017
27,2,0.238032776351,2,0.092,0.227,0.032,-0.092,-0.25,0.017
27,1,0.217845434231,2,0.092,0.227,0.032,-0.092,-0.25,0.017
28,0,0.0951154710503,0,-0.125,-0.225,0.034,-0.092,-0.25,0.017
28,2,0.0,0,-0.125,-0.225,0.034,-0.092,-0.25,0.017
28,1,0.0,0,-0.125,-0.225,0.034,-0.092,-0.25,0.017
29,0,0.0823517644431,1,-0.075,-0.2,0.017,-0.092,-0.25,0.017
29,2,0.0,1,-0.075,-0.2,0.017,-0.092,-0.25,0.017
29,1,2.29164403775,1,-0.075,-0.2,0.017,-0.092,-0.25,0.017
3,0,0.0,1,-0.115,-0.25,0.034,-0.125,0.25,0.034
3,2,0.0,1,-0.115,-0.25,0.034,-0.125,0.25,0.034
3,1,0.0,1,-0.115,-0.25,0.034,-0.125,0.25,0.034
30,0,0.112382680618,1,0.125,-0.2,0.08,-0.092,-0.25,0.017
30,2,0.0,1,0.125,-0.2,0.08,-0.092,-0.25,0.017
30,1,0.12686220201,1,0.125,-0.2,0.08,-0.092,-0.25,0.017
32,0,0.16781084003,0,-0.125,-0.2,0.08,-0.075,0.2,0.114
32,2,0.0,0,-0.125,-0.2,0.08,-0.075,0.2,0.114
32,1,0.0,0,-0.125,-0.2,0.08,-0.075,0.2,0.114
33,0,0.825891365794,0,-0.075,0.1,0.057,-0.075,0.2,0.114
33,2,0.0,0,-0.075,0.1,0.057,-0.075,0.2,0.114
33,1,0.173829465862,0,-0.075,0.1,0.057,-0.075,0.2,0.114
34,0,0.40097147451,1,0.15,0.25,0.017,-0.075,0.2,0.114
34,2,0.14921650098,1,0.15,0.25,0.017,-0.075,0.2,0.114
34,1,2.82361674,1,0.15,0.25,0.017,-0.075,0.2,0.114
36,0,0.0,1,0.075,0.2,0.097,0.125,-0.2,0.08
36,2,0.0,1,0.075,0.2,0.097,0.125,-0.2,0.08
36,1,0.0,1,0.075,0.2,0.097,0.125,-0.2,0.08
37,0,0.0,1,-0.075,0.2,0.017,0.125,-0.2,0.08
37,2,0.0,1,-0.075,0.2,0.017,0.125,-0.2,0.08
37,1,0.0918100045098,1,-0.075,0.2,0.017,0.125,-0.2,0.08
39,0,0.085930526708,2,-0.092,0.2201,0.032,0.125,-0.2,0.08
39,2,0.139378648884,2,-0.092,0.2201,0.032,0.125,-0.2,0.08
39,1,0.202733938234,2,-0.092,0.2201,0.032,0.125,-0.2,0.08
40,0,0.0,1,0.0,-0.2,0.0,0.125,-0.2,0.08
40,2,0.0,1,0.0,-0.2,0.0,0.125,-0.2,0.08
40,1,0.0,1,0.0,-0.2,0.0,0.125,-0.2,0.08
42,0,0.108766369768,0,0.075,0.1,0.034,0.075,-0.1,0.08
42,2,0.2719003423,0,0.075,0.1,0.034,0.075,-0.1,0.08
42,1,0.112405825948,0,0.075,0.1,0.034,0.075,-0.1,0.08
43,0,0.0,1,0.0,-0.25,0.097,0.075,-0.1,0.08
43,2,0.0606932096368,1,0.0,-0.25,0.097,0.075,-0.1,0.08
43,1,0.0,1,0.0,-0.25,0.097,0.075,-0.1,0.08
44,0,0.0850995038352,1,0.0,0.25,0.0,0.075,-0.1,0.08
44,2,0.0,1,0.0,0.25,0.0,0.075,-0.1,0.08
