Hit_Direction,Response_Position,Ch,x_H,y_H,z_H,x_R,y_R,z_R,Num,Res
1,1,0,0.0,-0.200000003,0.0,0.174999997,0.25,0.0,1,0.533511805704
1,3,0,0.0,0.25,0.0,0.125,0.25,0.034000002,2,0.301662540905
0,6,0,-0.075000003,-0.100000001,0.057,0.125,0.200000003,0.034000002,3,0.561796374382
1,8,0,-0.150000006,0.25,0.097000003,-0.075000003,0.200000003,0.0,4,0.341744543974
0,10,0,-0.125,-0.224999994,0.079999998,-0.075000003,0.200000003,0.034000002,5,0.17475695969
1,10,0,-0.174999997,-0.25,0.0,-0.075000003,0.200000003,0.034000002,6,0.227473752891
0,12,0,0.125,0.224999994,0.034000002,0.125,-0.25,0.034000002,7,0.123131236174
1,12,0,-0.116666667,-0.25,0.114,0.125,-0.25,0.034000002,8,0.204831036898
1,21,0,0.075000003,-0.200000003,0.0,0.174999997,-0.25,0.0,10,1.29970532256
2,24,0,-0.150000006,0.24849999,0.032499999,0.075000003,0.200000003,0.079999998,11,0.0619158224203
0,25,0,0.075000003,0.200000003,0.034,-0.075000003,0.200000003,0.079999998,12,0.600981508246
0,25,0,0.125,0.100000001,0.057,-0.075000003,0.200000003,0.079999998,13,0.791886144718
1,25,0,-0.058333334,0.25,0.114,-0.075000003,0.200000003,0.079999998,14,0.0679606021701
1,25,0,0.075000003,0.200000003,0.017000001,-0.075000003,0.200000003,0.079999998,15,0.295743086755
2,28,0,0.091666669,0.24849999,0.032499999,-0.125,0.25,0.079999998,16,0.319051254832
0,31,0,0.075000003,0.100000001,0.034000002,0.125,0.200000003,0.079999998,17,0.515171179368
0,33,0,0.075000003,-0.100000001,0.079999998,0.125,-0.200000003,0.079999998,18,0.392113098241
0,34,0,0.075000003,0.200000003,0.057,-0.125,-0.200000003,0.079999998,19,0.22313023414
1,34,0,0.075000003,0.200000003,0.057,-0.125,-0.200000003,0.079999998,20,0.137874722196
0,37,0,-0.125,-0.224999994,0.034000002,-0.174999997,0.25,0.114,21,0.271263598749
1,37,0,-0.058333334,0.25,0.114,-0.174999997,0.25,0.114,22,0.165902207257
1,38,0,0.150000006,0.25,0.034000002,-0.174999997,0.25,0.079999998,23,1.39483504608
2,40,0,-0.091666669,0.24849999,0.032499999,0.075000003,0.200000003,0.114,24,0.407872451217
0,50,0,0.125,-0.224999994,0.034000002,-0.058333334,-0.25,0.0,25,0.21165667636
1,52,0,0.0,0.25,0.114,0.125,-0.05,0.034000002,26,0.0544872599841
0,53,0,0.125,0.224999994,0.057,0.075000003,-0.05,0.034000002,27,0.459609369128
1,53,0,-0.150000006,0.25,0.079999998,0.075000003,-0.05,0.034000002,28,0.0837145213029
0,54,0,-0.125,-0.224999994,0.034000002,0.075000003,-0.05,0.079999998,29,0.0935052924178
1,56,0,-0.174999997,-0.25,0.097000003,-0.075000003,-0.075,0.079999998,30,0.0993176444392
0,60,0,0.125,0.25,0.034000002,0.058333334,0.25,0.114,31,1.2979033869
1,60,0,0.125,0.25,0.034000002,0.058333334,0.25,0.114,32,0.0638264697105
2,61,0,-0.091666669,0.24849999,0.032499999,-0.058333334,0.25,0.114,33,0.510869098525
2,61,0,0.091666669,-0.201499999,0.032000002,-0.058333334,0.25,0.114,34,0.135012236805
1,64,0,-0.058333334,-0.25,0.114,-0.150000006,-0.24849999,0.032000002,35,0.0713812115311
0,66,0,-0.075000003,-0.200000003,0.034000002,0.0,0.200000003,0.017000001,36,1.31933425427
1,66,0,-0.075000003,-0.200000003,0.034000002,0.0,0.200000003,0.017000001,37,0.258376560322
2,66,0,0.06666667,0.201499999,0.032499999,0.0,0.200000003,0.017000001,38,0.114121184047
1,71,0,0.0,0.25,0.034000002,-0.033333331,0.24849999,0.032499999,39,0.107596158944
1,72,0,-0.174999997,-0.25,0.034000002,-0.033333331,0.25,0.017000001,40,0.241673525175
0,73,0,-0.075000003,-0.100000001,0.034000002,0.091666669,-0.201499999,0.032000002,41,0.131033402164
1,74,0,0.174999997,-0.25,0.079999998,0.06666667,-0.201499999,0.032000002,42,0.263389964948
0,75,0,0.125,-0.200000003,0.034000002,0.06666667,-0.25,0.032000002,43,0.229542666068
0,75,0,0.125,-0.100000001,0.034000002,0.06666667,-0.25,0.032000002,44,0.115178838396
1,75,0,0.125,-0.200000003,0.034000002,0.06666667,-0.25,0.032000002,45,0.10698575373
0,77,0,0.125,-0.224999994,0.079999998,0.008333335,-0.25,0.032000002,46,0.220206310501
1,78,0,-0.150000006,0.25,0.034000002,0.116666667,-0.25,0.0,47,0.0866048225928
0,84,0,-0.125,-0.200000003,0.057,0.125,-0.205,0.034000002,48,0.185902197126
1,84,0,-0.125,-0.200000003,0.057,0.125,-0.205,0.034000002,49,0.0695360016763
1,85,0,-0.116666667,-0.25,0.0,0.091666669,-0.205,0.032499999,50,0.033972704921
2,85,0,-0.150000006,0.226500005,0.032499999,0.091666669,-0.205,0.032499999,51,0.189343386416
1,91,0,-0.150000006,0.25,0.017000001,-0.008333335,0.201499999,0.032499999,52,0.0343250122727
1,94,0,-0.174999997,-0.25,0.079999998,-0.125,-0.205,0.034000002,53,0.101924401198
1,97,0,0.150000006,-0.25,0.017000001,-0.150000006,-0.201499999,0.032000002,54,0.158026107649
0,99,0,-0.125,-0.25,0.057,-0.091666669,-0.201499999,0.032000002,55,0.182557393252
1,99,0,-0.125,-0.25,0.057,-0.091666669,-0.201499999,0.032000002,56,0.0789466987167
0,102,0,-0.075000003,-0.200000003,0.097000003,-0.06666667,-0.201499999,0.032000002,57,0.170672132077
1,102,0,0.058333334,-0.25,0.114,-0.06666667,-0.201499999,0.032000002,58,0.128180401266
1,102,0,-0.075000003,-0.200000003,0.097000003,-0.06666667,-0.201499999,0.032000002,59,0.0452894728127
0,106,0,0.125,0.25,0.079999998,0.125,-0.205,0.034000002,60,0.119233365472
1,106,0,0.125,0.25,0.079999998,0.125,-0.205,0.034000002,61,0.144181026384
0,109,0,-0.125,-0.200000003,0.034000002,-0.125,-0.205,0.034000002,62,0.0886014582631
1,109,0,-0.125,-0.200000003,0.034000002,-0.125,-0.205,0.034000002,63,0.22386329864
1,110,0,-0.058333334,-0.25,0.114,0.150000006,-0.24849999,0.032000002,64,0.0765608757968
2,110,0,0.091666669,-0.223499998,0.032000002,0.150000006,-0.24849999,0.032000002,65,0.356257542502
2,113,0,-0.06666667,-0.201499999,0.032000002,0.15,-0.2485,0.032000002,66,0.22071792095
0,114,0,0.075000003,0.200000003,0.057,0.15,-0.24849999,0.032000002,67,0.213374903833
1,114,0,-0.174999997,-0.25,0.079999998,0.15,-0.24849999,0.032000002,68,0.0902064241091
1,114,0,0.075000003,0.200000003,0.057,0.15,-0.24849999,0.032000002,69,0.0864956199611
2,116,0,0.091666669,-0.24849999,0.032000002,0.0,0.25,0.034000002,70,0.128730637084
