Ch,Hit_Direction,x_H,y_H,z_H,x_R,y_R,z_R
0,1,-0.125,0.25,0.057,0.125,0.2,0.057
0,1,-0.105,0.25,0.057,0.125,0.2,0.057
0,1,-0.085,0.25,0.057,0.125,0.2,0.057
0,1,-0.065,0.25,0.057,0.125,0.2,0.057
0,1,-0.045,0.25,0.057,0.125,0.2,0.057
0,1,-0.025,0.25,0.057,0.125,0.2,0.057
0,1,0,0.25,0.057,0.125,0.2,0.057
0,1,0.025,0.25,0.057,0.125,0.2,0.057
0,1,0.045,0.25,0.057,0.125,0.2,0.057
0,1,0.065,0.25,0.057,0.125,0.2,0.057
0,1,0.085,0.25,0.057,0.125,0.2,0.057
0,1,0.105,0.25,0.057,0.125,0.2,0.057
0,1,0.125,0.25,0.057,0.125,0.2,0.057
