Num,Ch,Hit_Direction,x_H,y_H,z_H,x_R,y_R,z_R
1,0,2,-0.125,-0.201,0.032,-0.125,0.25,0.034
2,0,0,-0.125,0.2,0.08,-0.125,0.25,0.034
3,0,1,-0.115,-0.25,0.034,-0.125,0.25,0.034
4,0,1,0,-0.25,0.034,-0.125,0.25,0.034
5,0,2,0.15,-0.201,0.032,-0.125,0.25,0.034
6,0,1,0.175,-0.25,0,-0.075,-0.2,0.08
8,0,2,0.107,0.201,0.08,-0.075,-0.2,0.08
7,0,0,0.125,0.1,0.08,-0.075,-0.2,0.08
9,0,0,-0.125,0.1,0.034,-0.075,-0.2,0.08
10,0,1,0.125,0.2,0.057,-0.075,-0.2,0.08
11,0,1,-0.117,0.25,0.114,0.125,0.2,0.057
12,0,0,0.125,-0.2,0.08,0.125,0.2,0.057
13,0,2,-0.175,0.201,0,0.125,0.2,0.057
14,0,0,0.125,0.1,0.08,0.125,0.2,0.057
15,0,0,-0.075,-0.1,0.034,0.125,0.2,0.057
16,0,1,-0.125,0.25,0.034,-0.075,0.1,0.057
17,0,1,-0.125,0.25,0.08,-0.075,0.1,0.057
18,0,0,0.125,-0.2,0.034,-0.075,0.1,0.057
19,0,1,0.075,-0.2,0.017,-0.075,0.1,0.057
20,0,0,-0.075,-0.1,0.08,-0.075,0.1,0.057
21,0,1,0.125,0.25,0.034,-0.075,-0.1,0.057
22,0,2,-0.067,0.201,0.032,-0.075,-0.1,0.057
23,0,2,-0.175,-0.248,0,-0.075,-0.1,0.057
24,0,0,-0.075,0,0.057,-0.075,-0.1,0.057
25,0,1,0,0.2,0.057,-0.075,-0.1,0.057
26,0,1,0.075,0.2,0.08,-0.092,-0.25,0.017
27,0,2,0.092,0.227,0.032,-0.092,-0.25,0.017
28,0,0,-0.125,-0.225,0.034,-0.092,-0.25,0.017
29,0,1,-0.075,-0.2,0.017,-0.092,-0.25,0.017
30,0,1,0.125,-0.2,0.08,-0.092,-0.25,0.017
31,0,1,-0.075,0.2,0.017,-0.075,0.2,0.114
32,0,0,-0.125,-0.2,0.08,-0.075,0.2,0.114
33,0,0,-0.075,0.1,0.057,-0.075,0.2,0.114
34,0,1,0.15,0.25,0.017,-0.075,0.2,0.114
35,0,2,-0.092,0.2205,0.032,-0.075,0.2,0.114
36,0,1,0.075,0.2,0.097,0.125,-0.2,0.08
37,0,1,-0.075,0.2,0.017,0.125,-0.2,0.08
38,0,0,-0.075,0.2,0.057,0.125,-0.2,0.08
39,0,2,-0.092,0.2201,0.032,0.125,-0.2,0.08
40,0,1,0,-0.2,0,0.125,-0.2,0.08
41,0,1,-0.075,0.2,0.097,0.075,-0.1,0.08
42,0,0,0.075,0.1,0.034,0.075,-0.1,0.08
43,0,1,0,-0.25,0.097,0.075,-0.1,0.08
44,0,1,0,0.25,0,0.075,-0.1,0.08
45,0,2,-0.067,0.221,0.032,0.075,-0.1,0.08
46,0,0,-0.075,-0.2,0.08,-0.125,-0.1,0.034
47,0,1,-0.075,-0.2,0.017,-0.125,-0.1,0.034
48,0,1,-0.092,0.25,0.097,-0.125,-0.1,0.034
49,0,1,0.075,0.2,0.08,-0.125,-0.1,0.034
50,0,2,0.092,0.227,0.032,-0.125,-0.1,0.034
1,1,2,-0.125,-0.201,0.032,-0.125,0.25,0.034
2,1,0,-0.125,0.2,0.08,-0.125,0.25,0.034
3,1,1,-0.115,-0.25,0.034,-0.125,0.25,0.034
4,1,1,0,-0.25,0.034,-0.125,0.25,0.034
5,1,2,0.15,-0.201,0.032,-0.125,0.25,0.034
6,1,1,0.175,-0.25,0,-0.075,-0.2,0.08
8,1,2,0.107,0.201,0.08,-0.075,-0.2,0.08
7,1,0,0.125,0.1,0.08,-0.075,-0.2,0.08
9,1,0,-0.125,0.1,0.034,-0.075,-0.2,0.08
10,1,1,0.125,0.2,0.057,-0.075,-0.2,0.08
11,1,1,-0.117,0.25,0.114,0.125,0.2,0.057
12,1,0,0.125,-0.2,0.08,0.125,0.2,0.057
13,1,2,-0.175,0.201,0,0.125,0.2,0.057
14,1,0,0.125,0.1,0.08,0.125,0.2,0.057
15,1,0,-0.075,-0.1,0.034,0.125,0.2,0.057
16,1,1,-0.125,0.25,0.034,-0.075,0.1,0.057
17,1,1,-0.125,0.25,0.08,-0.075,0.1,0.057
18,1,0,0.125,-0.2,0.034,-0.075,0.1,0.057
19,1,1,0.075,-0.2,0.017,-0.075,0.1,0.057
20,1,0,-0.075,-0.1,0.08,-0.075,0.1,0.057
21,1,1,0.125,0.25,0.034,-0.075,-0.1,0.057
22,1,2,-0.067,0.201,0.032,-0.075,-0.1,0.057
23,1,2,-0.175,-0.248,0,-0.075,-0.1,0.057
24,1,0,-0.075,0,0.057,-0.075,-0.1,0.057
25,1,1,0,0.2,0.057,-0.075,-0.1,0.057
26,1,1,0.075,0.2,0.08,-0.092,-0.25,0.017
27,1,2,0.092,0.227,0.032,-0.092,-0.25,0.017
28,1,0,-0.125,-0.225,0.034,-0.092,-0.25,0.017
29,1,1,-0.075,-0.2,0.017,-0.092,-0.25,0.017
30,1,1,0.125,-0.2,0.08,-0.092,-0.25,0.017
31,1,1,-0.075,0.2,0.017,-0.075,0.2,0.114
32,1,0,-0.125,-0.2,0.08,-0.075,0.2,0.114
33,1,0,-0.075,0.1,0.057,-0.075,0.2,0.114
34,1,1,0.15,0.25,0.017,-0.075,0.2,0.114
35,1,2,-0.092,0.2205,0.032,-0.075,0.2,0.114
36,1,1,0.075,0.2,0.097,0.125,-0.2,0.08
37,1,1,-0.075,0.2,0.017,0.125,-0.2,0.08
38,1,0,-0.075,0.2,0.057,0.125,-0.2,0.08
39,1,2,-0.092,0.2201,0.032,0.125,-0.2,0.08
40,1,1,0,-0.2,0,0.125,-0.2,0.08
41,1,1,-0.075,0.2,0.097,0.075,-0.1,0.08
42,1,0,0.075,0.1,0.034,0.075,-0.1,0.08
