Frequency,N8757,N8758,N8763,N8788,N8811,N8813,N8815,N8932,N8973,N8975,N9020,N9024,N9038,N9048,N9103,N2969,N2970,N2983,N2996,N3011,N3016,N3281,N3788,N3789
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2.0157362087e-05,1.31837105073e-05,8.61049556988e-06,7.58471578592e-05,3.4151802538e-05,4.91984064865e-05,4.08852538385e-05,5.59400505153e-05,1.60931438131e-06,4.22251446253e-07,6.97461509844e-05,6.38119745417e-05,2.61621953541e-05,3.40842871083e-06,7.97113461886e-05,8.51182235806e-08,9.84377805935e-08,6.2935242795e-08,6.60068977254e-08,1.63946253906e-07,1.36994202649e-07,6.51481428804e-08,1.07835518293e-07,8.33282669532e-08
1.00594210625,2.03983436222e-05,1.33413377625e-05,8.71344218467e-06,7.67537130741e-05,3.45600747096e-05,4.97865294165e-05,4.13740272052e-05,5.66087546758e-05,1.62856417774e-06,4.27296640737e-07,7.05798229319e-05,6.45747350063e-05,2.647497422e-05,3.44920113093e-06,8.06640673545e-05,8.61351097114e-08,9.96144109422e-08,6.36866843706e-08,6.67950033062e-08,1.65903884408e-07,1.38629644653e-07,6.59261374381e-08,1.09123156733e-07,8.4324518923e-08
1.01196479797,2.06440690818e-05,1.35020700327e-05,8.81841606315e-06,7.76781016611e-05,3.49763868144e-05,5.03862320329e-05,4.18724230258e-05,5.72906283196e-05,1.64819334714e-06,4.32441140674e-07,7.14299021638e-05,6.53525130474e-05,2.67939140031e-05,3.49077686224e-06,8.16355313873e-05,8.71719905149e-08,1.00814204984e-07,6.44528910243e-08,6.75985987186e-08,1.67900012116e-07,1.4029723161e-07,6.67194299808e-08,1.10436118916e-07,8.53403889778e-08
1.01806998253,2.08946785278e-05,1.36659955388e-05,8.92547450349e-06,7.86208620411e-05,3.5400971683e-05,5.099784903e-05,4.23807287007e-05,5.79860497965e-05,1.66821280345e-06,4.37687788235e-07,7.22968688933e-05,6.61457306705e-05,2.71191911452e-05,3.5331795516e-06,8.26262839837e-05,8.82294628468e-08,1.02037830629e-07,6.52343032925e-08,6.84181316046e-08,1.69935731265e-07,1.41997901437e-07,6.75284610452e-08,1.11775129596e-07,8.63764526571e-08
1.02425980568,2.11503138416e-05,1.38332097777e-05,9.03468117031e-06,7.9582525359e-05,3.583407306e-05,5.16217332915e-05,4.28992243542e-05,5.86954156461e-05,1.68863391536e-06,4.43039596121e-07,7.31812251615e-05,6.69548680889e-05,2.74509911833e-05,3.57643307325e-06,8.36369144963e-05,8.93081235631e-08,1.03285998421e-07,6.60313617118e-08,6.92540780278e-08,1.72012221356e-07,1.43732606261e-07,6.83537066948e-08,1.13140956159e-07,8.7433292606e-08
1.03053605556,2.14111241803e-05,1.40038100653e-05,9.14609881875e-06,8.05636445875e-05,3.62759383279e-05,5.22582486155e-05,4.34282192145e-05,5.9419140598e-05,1.70946896105e-06,4.48499662298e-07,7.40834875614e-05,6.7780376412e-05,2.77895087493e-05,3.62056312042e-06,8.46679977258e-05,9.04086050468e-08,1.04559426006e-07,6.68445352403e-08,7.01069211573e-08,1.74130690311e-07,1.45502369264e-07,6.91956287824e-08,1.14534387308e-07,8.85115269966e-08
1.03690087795,2.16772659769e-05,1.41778955367e-05,9.25979475142e-06,8.15648163552e-05,3.67268403352e-05,5.29077660758e-05,4.39680261479e-05,6.01576575718e-05,1.73073010501e-06,4.54071255263e-07,7.5004172686e-05,6.86227649567e-05,2.81349475699e-05,3.66559606846e-06,8.57201448525e-05,9.15315609973e-08,1.05858866561e-07,6.76742928363e-08,7.09771654783e-08,1.76292388687e-07,1.4730825626e-07,7.00547317933e-08,1.15956268587e-07,8.96118095284e-08
1.04335665703,2.19488974835e-05,1.43555762406e-05,9.37583627092e-06,8.25866445666e-05,3.71870446543e-05,5.35706931259e-05,4.45189725724e-05,6.09114140389e-05,1.75243019385e-06,4.59757728777e-07,7.59438553359e-05,6.94825284882e-05,2.84875131911e-05,3.71155852008e-06,8.67939961608e-05,9.26776664301e-08,1.0718513721e-07,6.85211531959e-08,7.1865343898e-08,1.78498623882e-07,1.49151318851e-07,7.09315415293e-08,1.17407445543e-07,9.07347867951e-08
1.04990541935,2.22261933231e-05,1.45369594975e-05,9.49429795583e-06,8.36297476781e-05,3.76568350475e-05,5.42474299436e-05,4.5081400458e-05,6.16808756604e-05,1.77458298367e-06,4.65562635554e-07,7.69031248637e-05,7.03602054273e-05,2.88474275294e-05,3.75848003387e-06,8.78902283148e-05,9.38476389933e-08,1.08539026655e-07,6.93856350154e-08,7.27719964289e-08,1.80750774348e-07,1.51032722329e-07,7.18266051081e-08,1.1888879925e-07,9.18811835504e-08
1.05654966831,2.25093208428e-05,1.47221608131e-05,9.61525074672e-06,8.46948096296e-05,3.81365171052e-05,5.49384094484e-05,4.56556626887e-05,6.24665262876e-05,1.79720223059e-06,4.71489641996e-07,7.7882577898e-05,7.12563487468e-05,2.92149179586e-05,3.80638971365e-06,8.90095107025e-05,9.50422034407e-08,1.09921408864e-07,7.02682712017e-08,7.36976986104e-08,1.83050232749e-07,1.52953660404e-07,7.27404696477e-08,1.20401296044e-07,9.30517032316e-08
