Frequency,Quantity,R2
100,321,0.0304107345788
100,128,0.0884871151787
100,148,0.0752301664961
100,154,0.0737325175988
100,289,0.0583121694681
98,321,0.0323116895399
102,321,0.0352441084266
98,128,0.102959130326
102,128,0.108235756869
98,148,0.0736907930036
102,148,0.0878532406597
98,154,0.0684102029605
102,154,0.0839297336917
98,289,0.0500701108942
102,289,0.0574791263453
70,321,0.0192979989799
120,321,0.0423453470959
70,128,0.0540769138164
120,128,0.156990528366
70,148,0.0553593847145
120,148,0.0959871389173
70,154,0.045148260651
120,154,0.0816368477808
70,289,0.0289654357347
120,289,0.0652233786113
50,321,0.0189809953841
150,321,0.046322033055
50,128,0.0618317065092
150,128,0.143193404749
50,148,0.074628147227
150,148,0.111424994973
50,154,0.0524814891187
150,154,0.0990558553972
50,289,0.0271378193222
150,289,0.0741228973401
40,321,0.0291367439012
170,321,0.0299596362877
40,128,0.0948965726919
170,128,0.117092715436
40,148,0.0727986624824
170,148,0.092070088844
40,154,0.0646062159705
170,154,0.0751459240912
40,289,0.0516036849431
170,289,0.0502019676999
80,321,0.0216106663279
130,321,0.0393834772331
80,128,0.0679251178102
130,128,0.141490744398
80,148,0.0502252624813
130,148,0.100225297412
80,154,0.0520606351656
130,154,0.0860472041241
80,289,0.0355138194187
130,289,0.0642252018341
