Frequency,Quantity,R2
100,321,0.055698747025
100,128,0.122464496453
100,148,0.128663914214
100,154,0.120187605569
100,289,0.0702609022315
98,321,0.0731976944287
102,321,0.0704289834967
98,128,0.135191414979
102,128,0.152229340022
98,148,0.160156297661
102,148,0.148601039661
98,154,0.121771076788
102,154,0.135085141331
98,289,0.0584117148672
102,289,0.0667591957546
70,321,0.0382471309522
120,321,0.0691829035278
70,128,0.0807891550037
120,128,0.199477029879
70,148,0.0702056926802
120,148,0.240925194396
70,154,0.0837270932608
120,154,0.194181627442
70,289,0.0367283337524
120,289,0.10804978042
50,321,0.033388442374
150,321,0.100575693632
50,128,0.0717682030172
150,128,0.212936855203
50,148,0.116735595639
150,148,0.185786643535
50,154,0.100596840254
150,154,0.224706353677
50,289,0.0440503873494
150,289,0.0853315424045
40,321,0.046463108829
170,321,0.0523752880433
40,128,0.158179948111
170,128,0.185985240294
40,148,0.100852327083
170,148,0.108234037962
40,154,0.106989230534
170,154,0.125800999509
40,289,0.0591704661481
170,289,0.0585620501793
80,321,0.0643476770126
130,321,0.121903205218
80,128,0.0658268401705
130,128,0.125036030021
80,148,0.0905593712225
130,148,0.18362045712
80,154,0.0646419941378
130,154,0.111117637457
80,289,0.0445863675648
130,289,0.083005033331
